Headline,URL
Why GM’s CEO is still betting on electric vehicles (and racing),https://www.theverge.com/gm-general-motors/705320/gm-ceo-mary-barra-interview-ev-cadillac-dei-trump
CommentsComment Icon Bubble,https://www.theverge.com/gm-general-motors/705320/gm-ceo-mary-barra-interview-ev-cadillac-dei-trump#comments
Foldables are in and suddenly really thin,https://www.theverge.com/installer-newsletter/705979/samsung-galaxy-z-fold-flip-7-nothing-phone-headphone-installer
CommentsComment Icon Bubble,https://www.theverge.com/installer-newsletter/705979/samsung-galaxy-z-fold-flip-7-nothing-phone-headphone-installer#comments
Rivian R1S review: second time’s the charm,https://www.theverge.com/electric-cars/689400/rivian-r1s-review-second-times-the-charm
CommentsComment Icon Bubble,https://www.theverge.com/electric-cars/689400/rivian-r1s-review-second-times-the-charm#comments
"24 hours with Alexa Plus: we cooked, we chatted, and it kinda lied to me",https://www.theverge.com/hands-on/705808/amazon-alexa-plus-first-look
CommentsComment Icon Bubble,https://www.theverge.com/hands-on/705808/amazon-alexa-plus-first-look#comments
Playdate’s second season sucked me back into the little yellow handheld,https://www.theverge.com/games-review/705348/playdate-season-2-review
CommentsComment Icon Bubble,https://www.theverge.com/games-review/705348/playdate-season-2-review#comments
